orbital_period_days,transit_duration_hours,transit_depth_ppm,planetary_radius_earth_radii,insolation_flux_earth_flux,equilibrium_temperature_k,stellar_effective_temperature_k,stellar_surface_gravity_log10_cm_s2,stellar_radius_solar_radii,right_ascension_decimal_degrees,declination_decimal_degrees
0.444291966,2.0792,11000.0,27.51,2706.26,1836.0,5255.0,4.678,0.636,290.99689,38.28492
10.181584,3.5089,5740.0,7.73,102.91,812.0,5988.0,4.541,0.836,291.28195,38.241669
20.06036336,3.3203,1490.0,1.96,4.0,361.0,3950.0,4.754,0.493,286.07913,39.27832
46.1842039,4.758,1390.0,1.83,1.32,273.0,3950.0,4.754,0.493,286.07913,39.27832
23.9800854,5.351,104.0,1.31,41.94,649.0,5854.0,4.406,1.012,300.86398,44.337551
7.82502168,2.186,521.0,1.2,14.05,494.0,3950.0,4.754,0.493,286.07913,39.27832
3.895936525,2.3111,8540.0,7.34,241.62,1005.0,5557.0,4.592,0.774,294.65524,39.308361
22.36646466,5.228,987.0,2.32,19.45,536.0,5395.0,4.615,0.734,294.71063,39.52174
1.625522174,2.38963,7970.0,9.73,1467.41,1579.0,5539.0,4.322,1.106,293.87192,38.422939
19.62034692,2.0038,21700.0,13.6,40.39,643.0,5710.0,4.492,0.905,293.81619,38.563568
7.544039,6.222,323.0,17.47,116.46,838.0,5657.0,4.567,0.824,293.94116,38.601101
9.02930689,3.1449,1020.0,2.57,77.75,757.0,5349.0,4.526,0.82,290.33362,38.72823
10.32803571,7.7915,16900.0,13.28,119.31,843.0,5627.0,4.359,1.024,287.69675,38.886452
143.2063047,8.9302,10600.0,8.9,2.14,308.0,5485.0,4.556,0.867,285.28363,38.947281
6.164876,3.262,55.8,0.79,256.35,1021.0,5854.0,4.406,1.012,300.86398,44.337551
60.32494216,6.6188,20300.0,12.19,6.77,411.0,5485.0,4.556,0.867,285.28363,38.947281
1.540397253,2.1541,816.0,25.69,1105.68,1470.0,5663.0,4.53,0.915,286.92639,38.921631
2.99025443,5.414,589.0,1.7,168.45,918.0,4667.0,4.578,0.731,287.74881,38.92955
1.594745374,1.9604,15000.0,11.3,1329.42,1539.0,5934.0,4.491,0.893,285.21381,39.027481
4.783002698,2.335,1010.0,2.5,145.48,886.0,5170.0,4.574,0.807,287.09399,39.060719
20.50588921,4.0595,2110.0,3.41,17.06,518.0,4905.0,4.544,0.761,289.31543,39.153278
3.340218842,1.9104,1630.0,2.03,43.73,656.0,3950.0,4.754,0.493,286.07913,39.27832
2.507089906,2.0067,1340.0,30.26,730.47,1326.0,5926.0,4.506,0.939,295.37805,40.493401
18.64932728,4.4056,894.0,3.12,57.13,701.0,5775.0,4.405,1.053,290.46176,40.562462
4.90144976,4.1654,141.0,1.7,598.74,1262.0,5847.0,4.191,1.402,297.02826,48.208611
9.75192101,4.793,418.0,2.76,135.66,870.0,5775.0,4.405,1.053,290.46176,40.562462
38.5576546,5.794,993.0,4.02,21.71,550.0,5775.0,4.405,1.053,290.46176,40.562462
3.525632539,2.59959,22300.0,11.58,213.12,975.0,5150.0,4.572,0.793,290.58173,40.5774
34.84398644,2.9315,4520.0,7.61,16.1,511.0,5509.0,4.482,0.871,285.92001,39.624828
7.748094239,3.5957,2470.0,5.52,204.39,964.0,5973.0,4.439,1.085,294.4899,39.771439
23.96793669,3.827,1180.0,1.8,2.77,329.0,3747.0,4.728,0.524,283.86639,39.898079
8.29561738,1.3421,824.0,1.82,11.39,469.0,3747.0,4.728,0.524,283.86639,39.898079
8.11437482,2.2736,1560.0,2.1,10.55,460.0,3692.0,4.753,0.517,288.81201,40.033401
38.03672948,4.34617,82900.0,27.5,14.81,500.0,5575.0,4.521,0.932,294.14789,40.055538
4.64090031,35.512,2450.0,30.09,421.08,1155.0,6463.0,4.5,0.826,295.11371,40.071171
3.747838198,5.0642,616.0,13.65,266.76,1031.0,5514.0,4.569,0.826,291.06152,50.265129
14.74914825,6.0995,430.0,2.89,137.91,874.0,5847.0,4.191,1.402,297.02826,48.208611
21.81295996,4.3791,1180.0,3.38,39.33,639.0,5601.0,4.41,0.999,294.77686,40.15374
7.91936937,3.3148,15100.0,10.34,104.0,814.0,5690.0,4.588,0.776,283.53845,40.217999
15.37562369,3.3169,15300.0,11.01,30.54,600.0,4986.0,4.496,0.833,283.25354,40.358189
8.10363271,3.161,888.0,2.11,52.82,687.0,4861.0,4.574,0.732,283.22141,40.421829
4.71510843,2.506,418.0,1.46,108.84,823.0,4861.0,4.574,0.732,283.22141,40.421829
6.365839713,2.9721,781.0,2.44,165.33,914.0,5776.0,4.554,0.849,291.14951,40.420521
5.97581754,3.065,962.0,3.86,284.25,1047.0,6108.0,4.471,0.997,294.22397,40.417858
2.446737317,4.7211,1180.0,26.25,597.19,1261.0,5764.0,4.548,0.863,298.96112,40.862808
3.04033046,1.8411,10900.0,8.99,257.29,1021.0,5035.0,4.519,0.791,299.3161,40.82238
15.33528675,3.897,3080.0,5.0,32.67,610.0,5251.0,4.581,0.817,292.23676,41.08588
7.95825328,4.377,50.0,1.06,314.15,1074.0,5847.0,4.191,1.402,297.02826,48.208611
31.33046135,5.176,5070.0,6.5,12.61,481.0,5251.0,4.581,0.817,292.23676,41.08588
3.9043425,3.831,16200.0,12.28,351.05,1104.0,5810.0,4.526,0.898,294.05676,40.549679
9.286358079,3.49949,44800.0,17.61,95.03,796.0,5670.0,4.523,0.821,294.74396,40.53392
3.951405455,2.1862,2450.0,31.44,388.71,1133.0,6046.0,4.539,0.869,295.50439,40.505489
23.65369415,8.2183,3340.0,7.89,67.65,731.0,5739.0,4.191,1.384,287.89713,40.637821
13.23352214,6.7372,505.0,3.06,146.67,888.0,5739.0,4.191,1.384,287.89713,40.637821
6.15560285,4.9843,285.0,2.32,406.94,1146.0,5739.0,4.191,1.384,287.89713,40.637821
2.090811305,3.388,116.0,1.62,1718.04,1642.0,5739.0,4.191,1.384,287.89713,40.637821
3.180027898,3.5797,120.0,1.53,1066.86,1458.0,5847.0,4.191,1.402,297.02826,48.208611
50.4467417,7.159,370.0,2.67,24.64,568.0,5739.0,4.191,1.384,287.89713,40.637821
56.2279271,3.57,863.0,2.37,4.22,366.0,4959.0,4.603,0.756,294.20215,40.66341
2.384052875,3.0918,1270.0,17.06,244.87,1010.0,4794.0,4.58,0.701,299.64285,40.691238
7.953547,2.6312,875.0,2.25,55.37,696.0,4768.0,4.536,0.779,291.15878,40.750271
4.14451656,2.3421,392.0,1.48,132.08,864.0,4768.0,4.536,0.779,291.15878,40.750271
4.859386384,2.2757,6040.0,38.33,364.23,1114.0,6072.0,4.47,0.988,292.21436,40.759762
10.52629458,2.5211,9770.0,8.24,61.16,713.0,5386.0,4.553,0.793,293.87811,41.66177
4.583520948,2.7055,3810.0,5.39,274.98,1038.0,5815.0,4.54,0.877,299.18686,41.74268
3.76181843,3.5176,511.0,2.66,372.62,1121.0,5653.0,4.472,0.949,283.31638,41.83712
8.20396958,2.9667,1020.0,3.01,71.5,742.0,5015.0,4.499,0.826,286.5657,41.808399
14.49645186,4.016,648.0,3.01,33.48,613.0,5015.0,4.499,0.826,286.5657,41.808399
6.54626149,2.75,656.0,2.19,101.78,810.0,5251.0,4.581,0.817,292.23676,41.08588
12.71809866,3.0957,1150.0,2.31,23.6,562.0,4702.0,4.592,0.686,292.91312,41.060921
36.06588163,4.3246,1560.0,2.64,5.88,397.0,4702.0,4.592,0.686,292.91312,41.060921
4.190425659,2.8589,2880.0,6.21,547.9,1234.0,6073.0,4.392,1.135,293.49661,41.137589
3.709870784,3.0694,2020.0,4.35,415.1,1151.0,5727.0,4.463,0.978,283.86441,41.346458
16.3297527,6.271,1190.0,3.75,66.08,727.0,5878.0,4.444,0.987,288.51001,41.301769
27.80756622,4.21587,25400.0,13.84,22.24,554.0,5862.0,4.584,0.785,296.88821,41.396091
80.8723469,11.195,3600.0,7.59,9.88,452.0,5510.0,4.222,1.238,287.1543,41.565788
3.166465862,2.9381,4360.0,26.82,196.31,954.0,4968.0,4.575,0.704,284.86929,41.679192
24.99324319,5.9409,270.0,2.29,60.88,712.0,5718.0,4.181,1.317,287.36279,38.649601
10.35533116,3.1775,751.0,2.47,86.22,777.0,5501.0,4.462,0.918,288.9942,41.633282
16.08518937,3.984,1440.0,3.68,33.43,613.0,5239.0,4.523,0.826,292.10519,42.380322
235.9986399,8.2284,20700.0,10.59,0.29,188.0,4245.0,4.627,0.657,293.00797,42.307201
7.49018305,2.7297,1120.0,2.56,76.06,753.0,5103.0,4.562,0.787,291.63898,42.436321
36.2761238,4.7865,1570.0,3.03,9.29,445.0,5103.0,4.562,0.787,291.63898,42.436321
17.46087931,2.2641,812.0,2.32,24.6,568.0,5103.0,4.562,0.787,291.63898,42.436321
56.0560754,4.685,1630.0,1.94,0.69,233.0,3593.0,4.757,0.491,289.50848,41.812119
41.40831669,5.0264,22800.0,11.38,9.93,453.0,5522.0,4.586,0.747,291.76041,41.944069
39.74893077,7.3051,15200.0,14.21,21.87,552.0,6122.0,4.487,0.964,293.17929,41.969238
5.715425977,2.5242,908.0,2.47,123.03,850.0,5237.0,4.572,0.826,285.11047,42.033958
49.18394185,11.3364,1650.0,8.2,47.4,669.0,5626.0,3.907,2.057,294.55917,46.062328
20.0261412,1.611,421.0,2.28,23.14,559.0,5237.0,4.572,0.826,285.11047,42.033958
13.61014819,2.594,5730.0,19.02,68.29,733.0,5697.0,4.46,0.903,289.89777,42.009151
10.44331991,2.743,1160.0,2.66,46.94,667.0,4947.0,4.516,0.802,286.24356,42.148811
2.237489571,1.8119,316.0,1.41,427.17,1160.0,5265.0,4.58,0.81,290.00757,42.116459
5.851520671,3.11058,33000.0,14.62,155.89,901.0,5532.0,4.53,0.806,284.08731,42.233231
3.167893418,2.1814,781.0,2.62,526.23,1221.0,5895.0,4.503,0.94,293.81647,42.212502
